nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,scip_seconds,status,objective_value,achieved_GHG
14,45,80,124,58.740711000000005,0.0004650239134207368,3.5139539680676535,,optimal_inaccurate,17.7570324132645,58.740351000000054
14,45,100,144,58.740387000000005,0.0006160500925034285,4.619421876966953,,optimal_inaccurate,17.791710434023248,58.739514000000085
14,30,20,49,39.720816,0.0005510009359568357,3.8517907870700583,,optimal_inaccurate,16.8952197584536,39.7159979999998
14,30,40,69,39.530253,0.0004486279794946313,2.9819877459667623,,optimal_inaccurate,17.079537006509682,39.529047
14,30,60,89,39.449961,0.00047382607590407133,5.31228760490194,,optimal_inaccurate,17.15929025213956,39.44995200000003
14,30,80,109,39.54558,0.000510112033225596,3.579478846048005,,optimal_inaccurate,17.214462796849848,39.54386400000052
14,30,100,129,39.503103,0.000491617014631629,5.095719164935872,,optimal_inaccurate,17.24379605636472,39.502755000000036
14,15,20,34,18.692286000000003,0.00047711306251585484,3.90028994390741,,optimal_inaccurate,15.862056723482919,18.686436000000022
14,15,40,54,18.539829000000005,0.00045454304199665785,4.208073936053552,,optimal_inaccurate,16.10493461473685,18.538794000000014
14,15,60,74,18.445674000000004,0.00044283096212893724,9.289591120090336,,optimal_inaccurate,16.1475438347108,18.444888000000017
14,15,80,94,18.361449000000004,0.0005310500273481011,5.643021221039817,,optimal_inaccurate,16.16149094262767,18.360978000000006
14,15,100,114,18.371796000000003,0.00048289098776876926,6.929659291985445,,optimal_inaccurate,16.18624629437354,18.369969000000008
14,5,20,24,5.308074,0.0004697800613939762,5.569655539933592,,optimal_inaccurate,14.21498195965388,5.305764000000002
14,5,40,44,5.438070000000001,0.00042887090239673853,5.354869150090963,,optimal_inaccurate,14.422945280819643,5.437547999999997
14,5,60,64,5.220699,0.0004804600030183792,8.749410276068375,,optimal_inaccurate,14.416175474372983,5.220692999999999
14,5,80,84,5.176404,0.00045548402704298496,6.149735910934396,,optimal_inaccurate,14.406627644105276,5.176103999999999
14,5,100,104,5.211453000000001,0.0004652149509638548,6.994557357975282,,optimal_inaccurate,14.425301573010568,5.208201000000001
14,3,20,22,2.589678,0.0004546110285446048,1.8895399459870532,,optimal,13.295289276471582,2.5896390000000005
14,3,40,42,2.7460649999999998,0.00043307594023644924,6.378382609109394,,optimal_inaccurate,13.515849473904622,2.7444300000000004
14,3,60,62,2.5930920000000004,0.0004749640356749296,7.572319041006267,,optimal_inaccurate,13.489059306523073,2.592864
14,3,80,82,2.514012,0.00045955495443195105,8.513057867996395,,optimal_inaccurate,13.445686100584199,2.513739000028431
14,3,100,102,2.516337,0.0004980390658602118,13.199803075985983,,optimal_inaccurate,13.44788105168313,2.5156110000000003
28,90,20,109,241.728087,0.0005511100171133876,5.180968175991438,,optimal_inaccurate,37.05672763050818,241.7251050000002
