nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,scip_seconds,status,objective_value,achieved_GHG
14,90,20,109,124.352853,0.000410853186622262,0.1630149979609996,0.1539402031339705,optimal,18.482429436642455,124.3180639015314
14,90,40,129,124.31037599999999,0.00041680107824504375,0.15468677296303213,0.145539561053738,optimal,18.62950397518788,124.197963
14,90,60,149,124.30210499999998,0.0005448330193758011,0.17225920991040766,0.16309109795838594,optimal,18.71903476296384,124.29735600000001
14,90,80,169,124.30384199999999,0.00041579594835639,0.8109951829537749,0.8011574891861528,optimal,18.79113208705173,124.29613968902527
14,90,100,189,124.40789099999999,0.0004733959212899208,0.22384043992497027,0.2139130390714854,optimal,18.869188016646856,124.40284009042996
14,75,20,94,101.004657,0.00046608992852270603,0.1377241110894829,0.1295250509865582,optimal,18.189645425623972,100.987341
14,75,40,114,101.01500399999999,0.0004174101632088423,0.2210940949153155,0.21286373888142407,optimal,18.351193693050135,100.96568669799393
14,75,60,134,100.96668899999999,0.00042031100019812584,0.6965486709959805,0.6877966590691358,optimal,18.432648733187033,100.9466218541617
14,75,80,154,101.128869,0.0003956509754061699,0.1833492850419134,0.17436370020732284,optimal,18.50036775928119,101.107575
14,75,100,174,101.08251299999999,0.0004028028342872858,0.16258401703089476,0.15269947401247919,optimal,18.55633355822867,101.07744
14,60,20,79,78.869286,0.00038925884291529655,0.17064796411432326,0.1635394929908216,optimal,17.85263819248804,78.85568995844403
14,60,40,99,78.933918,0.00039704516530036926,0.18606868595816195,0.17812395514920354,optimal,17.998007996007097,78.83304321700209
14,60,60,119,78.909246,0.0004946149419993162,0.1747575788758695,0.16577611700631678,optimal,18.099768164032753,78.89039192424022
14,60,80,139,78.887985,0.0004135770723223686,0.18552576494403183,0.17689177091233432,optimal,18.153986189859534,78.85988976690393
14,60,100,159,78.845871,0.00040301703847944736,0.23795058904215693,0.2283891891129315,optimal,18.20543643970069,78.82237843744181
14,45,20,64,58.84319999999999,0.0005835411138832569,0.11339804879389703,0.10621807281859219,optimal,17.461210833320777,58.78596164296211
14,45,40,84,58.79890499999999,0.0004502958618104458,0.1956028260756284,0.18803344992920756,optimal,17.601875428362135,58.780555775694836
14,45,60,104,58.83395399999999,0.000451704952865839,0.3887932470533997,0.3805110070388764,optimal,17.688867584771664,58.819053
14,45,80,124,58.74071099999999,0.0003934281412512064,0.18048423994332552,0.1722456500865519,optimal,17.75540222996769,58.728456
14,45,100,144,58.74038699999999,0.0004733910318464041,0.16666704998351634,0.157519050873816,optimal,17.78771497786465,58.728849
14,30,20,49,39.72081599999999,0.00043677003122866154,0.08373036095872521,0.07701749983243644,optimal,16.893930676102922,39.70055055766529
14,30,40,69,39.530252999999995,0.00041574006900191307,0.15094576892443,0.1433969079516828,optimal,17.077732303972727,39.469481004310616
14,30,60,89,39.449960999999995,0.0003956060390919447,0.12949761701747775,0.1219239269848913,optimal,17.158198266724696,39.41004170705919
14,30,80,109,39.545579999999994,0.00039390684105455875,0.2291973321698606,0.22117740288376808,optimal,17.210193555699362,39.540065999999996
14,30,100,129,39.503102999999996,0.0004540099762380123,0.16515642195008695,0.1566959770862013,optimal,17.240849389474292,39.469233
14,15,20,34,18.692286,0.00042009796015918255,0.19600564404390752,0.18985431687906384,optimal,15.858665972408343,18.634911273326544
14,15,40,54,18.539829,0.00039441511034965515,0.40411175205372274,0.39758947188965976,optimal,16.1036413583257,18.526316353872073
14,15,60,74,18.445674,0.000398147851228714,0.1946023521013558,0.18751610186882317,optimal,16.143490895767,18.434235
14,15,80,94,18.361449,0.0004110308364033699,0.2191136630717665,0.21115852915681899,optimal,16.153597146304485,18.347304
14,15,100,114,18.371796,0.00040563009679317474,0.3287080379668623,0.32005181396380067,optimal,16.18134584309346,18.304321980136162
14,5,20,24,5.308074,0.0004185980651527643,0.09861522610299289,0.0927230769302696,optimal,14.208478613040187,5.300688000000001
14,5,40,44,5.438070000000001,0.00043547083623707294,0.16300640208646655,0.15650181705132127,optimal,14.418807938332979,5.437406999999999
14,5,60,64,5.220699,0.00040330784395337105,0.21075978805311024,0.20334768807515502,optimal,14.411517269070059,5.21844
14,5,80,84,5.176404,0.0004524670075625181,0.2767218379303813,0.268566515063867,optimal,14.405274265516242,5.173382988945502
14,5,100,104,5.211453000000001,0.0004020589403808117,0.2835490331053734,0.27537045790813863,optimal,14.419220382301402,5.198058
14,3,20,22,2.589678,0.0004042170476168394,0.09388410998508334,0.08768200781196356,optimal,13.284543666839125,2.5765439999999997
14,3,40,42,2.7460649999999998,0.00038078799843788147,0.17095192102715373,0.16445841593667865,optimal,13.510404644556294,2.7409349719937968
14,3,60,62,2.5930920000000004,0.000686500919982791,0.2067606020718813,0.1994529061485082,optimal,13.477582081591736,2.5873859999999995
14,3,80,82,2.514012,0.00041382503695786,0.3102164559531957,0.3026408029254526,optimal,13.420117796672502,2.5016670000000003
14,3,100,102,2.516337,0.0004323578905314207,0.4433654600288719,0.43553842115215957,optimal,13.440502782953363,2.514663
28,90,20,109,241.72808700000002,0.0005113049410283566,0.27149223489686847,0.2593771310057491,optimal,37.05509754886501,241.701225
28,90,40,129,241.89474,0.0005044119898229837,0.3283208590000868,0.31669240701012313,optimal,37.35595720812565,241.81779714327234
28,90,60,149,241.923552,0.0004808129742741585,2.8161259600892663,2.802954762009904,optimal,37.54764493874239,241.919118
28,90,80,169,241.882548,0.0006085929926484823,1.3510789750143886,1.3364246101118624,optimal,37.68361174178549,241.72257599999998
28,90,100,189,241.944846,0.0005271900445222855,0.5529890330508351,0.5381968559231609,optimal,37.835841023576705,241.80581399999997
28,75,20,94,197.136489,0.0004608030430972576,0.40432790108025074,0.394168552942574,optimal,36.46093726576041,197.09290580615797
28,75,40,114,196.970223,0.00042053405195474625,0.6039173619356006,0.5925551610998809,optimal,36.77785144298094,196.95282536468133
28,75,60,134,196.985109,0.0004741640295833349,0.5616475688293576,0.5493110748939216,optimal,36.981047364925594,196.95756762978237
28,75,80,154,197.191467,0.00044394400902092457,1.3968084480147809,1.383463665144518,optimal,37.12512239272761,197.064684
28,75,100,174,197.300493,0.00042990315705537796,1.6117575368843973,1.5973883499391377,optimal,37.236603609983504,197.266326
28,60,20,79,154.140579,0.00043206196278333664,0.2826355150900781,0.27339583705179393,optimal,35.800926157442326,154.13397612443285
28,60,40,99,154.268415,0.00041175796650350094,0.31620873091742396,0.30511131091043353,optimal,36.092052840522285,154.252308
28,60,60,119,154.184646,0.00041915709152817726,0.45724734803661704,0.4455411289818585,optimal,36.30032483737825,154.18377
28,60,80,139,153.994377,0.0005363759119063616,0.4102420820854604,0.3975401201751083,optimal,36.43828044303663,153.9349649171221
