nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
28,60,20,79,154.14057900000006,0.0036990989465266466,0.0269729970023036,greedy_done,35.80092639539033,154.13398499999988
28,60,40,99,154.26841500000006,0.005797253921627998,0.03436978906393051,greedy_done,36.09129853698797,154.11083999999988
28,60,60,119,154.18464600000004,0.008349788025952876,0.041396943968720734,greedy_done,36.30019222316556,154.10262900000006
28,60,80,139,153.99437700000004,0.011266486952081323,0.04818326502572745,greedy_done,36.43731575644019,153.86472600000002
28,60,100,159,153.88513800000004,0.01464368391316384,0.05447933601681143,greedy_done,36.5421952275844,153.81039900000007
28,45,20,64,115.670184,0.002472291002050042,0.02004603308159858,greedy_done,34.9948634705199,115.56063299999988
28,45,40,84,115.537512,0.00418555794749409,0.026269038091413677,greedy_done,35.331789954324975,115.41082499999989
28,45,60,104,115.638879,0.006397724035196006,0.03225925599690527,greedy_done,35.523575331393815,115.60910399999995
28,45,80,124,115.728243,0.009012634982354939,0.038191538071259856,greedy_done,35.660426588125155,115.69428299999991
28,45,100,144,115.61519100000001,0.01211714802775532,0.044203858938999474,greedy_done,35.74175492297409,115.60080900000003
28,30,20,49,76.73860800000001,0.0014648089418187737,0.013123346026986837,greedy_done,33.82598760679509,76.69883100000001
28,30,40,69,76.33884900000001,0.002825279952958226,0.01893603999633342,greedy_done,34.24492558938559,76.15490999999992
28,30,60,89,76.137084,0.0046342749847099185,0.023870885954238474,greedy_done,34.41742995672114,76.09500299999996
28,30,80,109,76.141428,0.006942424923181534,0.029289716039784253,greedy_done,34.52039919194102,76.06566899999997
28,30,100,129,76.30808100000002,0.009590809931978583,0.03433753305580467,greedy_done,34.599347789731105,76.234896
28,15,20,34,36.113661,0.0007619380485266447,0.006709535955451429,greedy_done,31.844425006335836,35.99681400000001
28,15,40,54,36.105123,0.0017592450603842735,0.011407368932850659,greedy_done,32.321361455321906,36.04737900000001
28,15,60,74,35.895279,0.003252604976296425,0.01550652808509767,greedy_done,32.425928292955746,35.80611000000002
28,15,80,94,35.671872,0.0051994239911437035,0.018821444013155997,greedy_done,32.45168262737614,35.659530000000025
28,15,100,114,35.505606,0.007593857008032501,0.022512611001729965,greedy_done,32.48097652537876,35.425782000000034
28,5,20,24,10.010231999999998,0.0004056870238855481,0.002502255025319755,greedy_done,28.52660903070836,9.985077000000008
28,5,40,44,9.986960999999997,0.0011962410062551498,0.004823648021556437,greedy_done,28.839602489885696,9.885845999999999
28,5,60,64,9.694985999999998,0.002457901951856911,0.007217710022814572,greedy_done,28.899012541115333,9.691614000000001
28,5,80,84,9.562313999999997,0.004097284050658345,0.008808432030491531,greedy_done,28.846920402224818,9.473334000000001
28,5,100,104,9.663680999999997,0.006302007008343935,0.010610313969664276,greedy_done,28.881456232163412,9.546594000000002
28,3,20,22,4.908479999999999,0.00034996005706489086,0.0015789649914950132,greedy_done,26.709331227078113,4.8854609999999985
28,3,40,42,4.948085999999999,0.0010887080570682883,0.0031505479710176587,greedy_done,27.02222503954326,4.930310999999999
28,3,60,62,4.761576,0.0023263159673660994,0.0046110720140859485,greedy_done,27.024283048537097,4.746986999999999
28,3,80,82,4.653404999999999,0.003979713073931634,0.005702156922779977,greedy_done,26.954338293741255,4.610123999999999
28,3,100,102,4.750226999999999,0.006058992934413254,0.007109997095540166,greedy_done,27.039311514083835,4.749452999999999
54,90,20,109,443.89862100000005,0.01308409299235791,0.08882070798426867,greedy_done,71.75127972189239,443.73238800000235
54,90,40,129,444.08396100000004,0.018172682030126452,0.10969104699324816,greedy_done,72.28707931712839,443.9987370000017
54,90,60,149,444.02907000000005,0.024452198995277286,0.12913624907378107,greedy_done,72.63644819144838,443.9102550000021
54,90,80,169,443.85223500000006,0.03114537603687495,0.14551638602279127,greedy_done,72.88851120092849,443.8481010000018
54,90,100,189,444.08871000000005,0.03936981700826436,0.1624576790491119,greedy_done,73.14906175055549,444.01943400000135
54,75,20,94,363.65136300000006,0.009864936931990087,0.07102138304617256,greedy_done,70.58105271309572,363.60489900000067
54,75,40,114,363.36358200000006,0.014323484967462718,0.08932132099289447,greedy_done,71.14789587641928,363.2770230000011
54,75,60,134,363.50648400000006,0.019647452048957348,0.10600923898164183,greedy_done,71.5316569015471,363.492084000001
54,75,80,154,363.61829700000004,0.026352862012572587,0.1213759989477694,greedy_done,71.80013631147487,363.5898690000012
54,75,100,174,363.701766,0.03348635695874691,0.13625301700085402,greedy_done,72.0083133875196,363.68789700000104
54,60,20,79,284.84605200000004,0.007021794095635414,0.05528438196051866,greedy_done,69.23452177412258,284.6601840000002
54,60,40,99,284.98284300000006,0.010716011980548501,0.07042242400348186,greedy_done,69.77740217014228,284.90918400000044
